code,name,kind,category,sequence,input_kind,core_value,social_base,social_cap_group,tax_base,tax_cap_group,prorate,leave_base,severance_base,das_column,das_exempt_column,account,source
BASIC,Salaire de base,standard,BASIC,1,,,subject,,taxable,,0,1,1,presence,none,pcg_6611,Base 05 §1 BASE ; CT art. 169 ; règle standard hr_payroll (paid_amount)
GA_SURSAL,Sursalaire,input,ALW,10,attachment,,subject,,taxable,,1,1,1,presence,none,pcg_6611,Base 05 §1 SURSAL
GA_ANC,Prime d'ancienneté,core,ALW,11,,seniority,subject,,taxable,,1,1,1,presence,none,pcg_6612,"Base 05 §1 ANC et §4 (tronc commun) ; règle d'ancienneté de la convention (F5, D-25), base = minimum du grade ou salaire"
GA_HS_J,Heures supplémentaires de jour,core,ALW,12,,overtime:day,subject,,taxable,,0,1,1,presence,none,pcg_6611,"Base 05 §3 (taux horaire = salaire / 173,33) ; prestations GA_HS_J ; majorations par tranche de la convention, jour (point 09-11 : aucune valeur par défaut)"
GA_HS_N,Heures supplémentaires de nuit,core,ALW,16,,overtime:night,subject,,taxable,,0,1,1,presence,none,pcg_6611,"Base 05 §3 (taux horaire = salaire / 173,33) ; prestations GA_HS_N ; majorations par tranche de la convention, nuit (21 h - 6 h) (point 09-11 : aucune valeur par défaut)"
GA_HS_DIM,Heures supplémentaires du dimanche,core,ALW,17,,overtime:sunday,subject,,taxable,,0,1,1,presence,none,pcg_6611,"Base 05 §3 (taux horaire = salaire / 173,33) ; prestations GA_HS_DIM ; majorations par tranche de la convention, dimanche (point 09-11 : aucune valeur par défaut)"
GA_HS_FER,Heures supplémentaires des jours fériés,core,ALW,18,,overtime:holiday,subject,,taxable,,0,1,1,presence,none,pcg_6611,"Base 05 §3 (taux horaire = salaire / 173,33) ; prestations GA_HS_FER ; majorations par tranche de la convention, jours fériés (point 09-11 : aucune valeur par défaut)"
GA_RECALL,Rappel de salaire,input,ALW,13,monthly,,subject,,taxable,,0,1,1,presence,none,pcg_6611,Base 06 §3.2 ID19 (rappels) ; soumis comme le salaire qu'il complète
GA_FONCT,Indemnité de fonction,input,ALW,14,attachment,,subject,,taxable,,1,1,1,taxable_allowance,none,pcg_6618,Base 05 §1 FONCT
GA_INTERIM,Prime d'intérim,input,ALW,15,monthly,,subject,,taxable,,0,1,1,presence,none,pcg_6612,Base 05 §1 INTERIM
GA_ASSID,Prime d'assiduité,input,ALW,20,monthly,,subject,,taxable,,0,0,1,presence,none,pcg_6612,Base 05 §1 ASSID ; CT art. 225 (exclusion possible de l'allocation de congé)
GA_NUIT,Prime de nuit,input,ALW,21,monthly,,subject,,taxable,,0,0,1,presence,none,pcg_6612,Base 05 §1 NUIT (21 h - 6 h) ; congés C : exclue par défaut (CT art. 225)
GA_QUART,Prime de quart,input,ALW,22,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 QUART (conventions) ; congés C : exclue par défaut
GA_RISQUE,Prime de risque,input,ALW,23,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 RISQUE ; arrêté 016 art. 2 ; CT art. 225 (indemnités de risques)
GA_PENIB,Prime de pénibilité,input,ALW,24,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 RISQUE (pénibilité) ; arrêté 016 art. 2
GA_TECHN,Prime de technicité,input,ALW,25,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 RISQUE (technicité) ; arrêté 016 art. 2
GA_SUJET,Prime de sujétion,input,ALW,26,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 RISQUE (sujétion) ; arrêté 016 art. 2
GA_DIPLOME,Prime de diplôme,input,ALW,27,attachment,,subject,,taxable,,1,0,1,presence,none,pcg_6612,Base 05 §1 RISQUE (diplôme) ; arrêté 016 art. 2
GA_VIECHERE,Indemnité de vie chère,input,ALW,28,attachment,,subject,,taxable,,1,0,1,taxable_allowance,none,pcg_6638,Base 05 §1 RISQUE (vie chère) ; arrêté 016 art. 2
GA_EXPAT,Indemnité d'expatriation,input,ALW,29,attachment,,subject,,taxable,,1,0,1,taxable_allowance,none,pcg_6633,Base 05 §1 EXPAT
GA_ELOIGN,Indemnité d'éloignement ou de brousse,input,ALW,30,attachment,,subject,,taxable,,1,0,1,taxable_allowance,none,pcg_6638,Base 05 §1 EXPAT (éloignement / brousse)
GA_LOGT_ESP,Indemnité de logement,input,ALW,31,attachment,,subject,,taxable,,1,1,1,taxable_allowance,none,pcg_6631,Base 05 §1 LOGT_ESP ; point 09-5 ouvert : imposable en totalité (décision D-14)
GA_RESP,Indemnité de responsabilité,input,ALW,32,attachment,,subject,,exempt,,1,1,1,none,nt_other,pcg_6638,Base 05 §1 RESP ; CGI art. 91 bis (si justifiée) ; arrêté 016 art. 2 (cotisable)
GA_REPR,Indemnité de représentation,input,ALW,33,attachment,,subject,,exempt,,0,0,0,none,nt_other,pcg_6632,Base 05 §1 REPR ; CGI art. 91 bis (si justifiée) ; cotisable selon arrêté 016
GA_CAISSE,Prime de caisse,input,ALW,34,attachment,,excluded,,exempt,,0,0,0,none,nt_other,pcg_6638,Base 05 §1 CAISSE ; CGI art. 91 bis ; arrêté 016 art. 3
GA_REND,Prime de rendement,input,ALW,40,monthly,,subject,,capped,BONUS_4M,0,0,1,presence,nt_other,pcg_6612,Base 05 §1 REND ; instruction 144/2004 (gratifications > 4 000 000 par an) ; point 09-4
GA_13M,Treizième mois,input,ALW,41,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M ; instruction 144/2004 ; point 09-4
GA_PFA,Prime de fin d'année,input,ALW,42,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M (prime de fin d'année) ; instruction 144/2004
GA_BONUS,Bonus,input,ALW,43,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M (bonus) ; instruction 144/2004
GA_BILAN,Prime de bilan,input,ALW,44,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M (bilan) ; instruction 144/2004
GA_RESULT,Prime de résultat ou d'intéressement,input,ALW,45,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M (résultat / intéressement) ; instruction 144/2004
GA_GRATIF,Gratification,input,ALW,46,monthly,,subject,,capped,BONUS_4M,0,0,0,presence,nt_other,pcg_6612,Base 05 §1 13M (gratifications) ; instruction 144/2004
